INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 1, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 1, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 1, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 0.0, 'flips': 2, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 1, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 3.1622776601683795}
INFO:root:{'delta_E': -1.9547156200021538, 'flips': 1, 'total_E': -2.377469506473377e-22, 'RoG': None, 'end_to_end': 2.8284271247461903}
INFO:root:{'delta_E': 1.9547156200021538, 'flips': 1, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -2.1075918898693416e-22, 'RoG': None, 'end_to_end': 2.0}
INFO:root:{'delta_E': -1.8434917065968726, 'flips': 3, 'total_E': -2.5452149812212656e-23, 'RoG': None, 'end_to_end': 8.48528137423857}
INFO:root:{'delta_E': 1.8434917065968726, 'flips': 1, 'total_E': 0.0, 'RoG': None, 'end_to_end': 8.48528137423857}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': 0.0, 'RoG': None, 'end_to_end': 8.48528137423857}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': 0.0, 'RoG': None, 'end_to_end': 8.48528137423857}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': 0.0, 'RoG': None, 'end_to_end': 8.48528137423857}
INFO:root:{'delta_E': -10.15701101682444, 'flips': 5, 'total_E': -1.4023267103367646e-22, 'RoG': None, 'end_to_end': 7.0710678118654755}
INFO:root:{'delta_E': -9.278887041359841, 'flips': 4, 'total_E': -2.683415321813407e-22, 'RoG': None, 'end_to_end': 7.0710678118654755}
INFO:root:{'delta_E': 10.100862438747825, 'flips': 4, 'total_E': -1.2888407592939323e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -1.2888407592939323e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -3.2333256369939307, 'flips': 2, 'total_E': -1.7352495400329357e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -1.7352495400329357e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': 1.9678491599175643, 'flips': 1, 'total_E': -1.4635586425538332e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': 1.9678491599175643, 'flips': 3, 'total_E': -1.1918677450747306e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -6.126449479324469, 'flips': 5, 'total_E': -2.0377153797927156e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -5.922706156976449, 'flips': 4, 'total_E': -2.8554332130850534e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -3.8603051583704207, 'flips': 5, 'total_E': -3.3884058587449497e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -4.550990133167814, 'flips': 5, 'total_E': -4.0167378563817507e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -2.1317651463803484, 'flips': 7, 'total_E': -4.311059798140239e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': 0.6485536455209403, 'flips': 5, 'total_E': -4.221517303926755e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -4.511997708910783, 'flips': 6, 'total_E': -4.844465816407751e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': 2.13518107074766, 'flips': 4, 'total_E': -4.549672255393083e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': 3.180168465190014, 'flips': 3, 'total_E': -4.1106026142634697e-22, 'RoG': None, 'end_to_end': 7.810249675906654}
INFO:root:{'delta_E': -2.60227950747961, 'flips': 5, 'total_E': -4.469886074235691e-22, 'RoG': None, 'end_to_end': 8.06225774829855}
INFO:root:{'delta_E': 6.128068715913933, 'flips': 4, 'total_E': -3.6238148797799058e-22, 'RoG': None, 'end_to_end': 8.06225774829855}
INFO:root:{'delta_E': -2.972800679535972, 'flips': 5, 'total_E': -4.0342543083199718e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.9214632684006903, 'flips': 1, 'total_E': -3.9070325743145573e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
